x_plr,x_delay,y_label
0.0,31.072,1
0.0,31.072,1
2.2,31.072,1
2.2,31.113,1
2.2,31.113,1
2.2,31.139,1
0.0,31.139,1
0.0,31.139,1
0.0,32.281,1
0.0,32.281,1
2.2,31.484,1
2.2,31.447,1
2.2,31.321,1
2.2,30.962,1
2.2,32.145,0
0.0,32.145,0
0.0,32.145,0
0.0,30.953,0
0.0,31.043,0
1.1,31.043,1
1.1,32.13,1
1.1,32.13,1
0.0,32.13,1
0.0,32.086,1
0.0,32.086,1
0.0,31.033,1
1.1,31.033,1
1.1,31.033,1
1.1,31.577,1
1.1,31.681,1
1.1,31.444,1
1.1,31.195,1
2.2,31.195,1
2.2,31.034,1
2.2,31.034,1
2.2,31.157,1
2.2,31.157,1
2.2,30.943,1
2.2,30.914,1
2.2,30.914,1
2.2,31.008,1
1.1,31.008,1
1.1,30.898,1
1.1,30.898,1
1.1,31.673,1
1.1,31.673,1
1.1,31.918,1
1.1,31.918,1
1.1,31.324,1
2.2,31.324,1
2.2,31.167,1
1.1,31.987,1
1.1,31.987,1
1.1,31.52,1
1.1,31.52,0
0.0,30.999,0
0.0,30.999,0
0.0,31.307,0
3.3,31.307,0
3.3,31.438,1
3.3,31.141,1
0.0,31.141,1
0.0,31.535,1
0.0,31.535,1
2.2,31.529,1
2.2,31.529,1
2.2,34.581,1
2.2,34.581,1
1.1,31.482,1
1.1,30.974,0
0.0,30.974,0
0.0,31.272,0
0.0,31.41,1
1.1,31.41,1
1.1,30.966,1
1.1,30.966,1
1.1,31.292,1
1.1,31.292,1
1.1,31.234,1
3.3,31.234,1
3.3,31.28,1
3.3,31.209,1
3.3,31.474,1
3.3,31.474,1
0.0,32.257,1
0.0,31.432,1
2.2,31.432,1
2.2,31.432,1
2.2,30.95,0
0.0,30.892,0
0.0,31.361,0
1.1,31.02,0
1.1,31.02,0
1.1,31.34,1
1.1,31.34,1
3.3,31.292,1
3.3,30.99,1
0.0,30.99,1
0.0,31.192,1
0.0,31.567,1
2.2,31.567,1
2.2,31.296,1
2.2,31.296,1
2.2,31.41,1
1.1,31.41,1
1.1,31.41,1
1.1,31.441,1
2.2,31.215,1
2.2,31.177,1
0.0,31.177,1
0.0,31.065,1
0.0,31.065,1
1.1,31.089,0
1.1,31.089,1
